State Code,County Code,County Name/State Abbreviation,2010 Unemployment Rate (%),2011 Unemployment Rate (%),2012 Unemployment Rate (%),2013 Unemployment Rate (%),2014 Unemployment Rate (%),2015 Unemployment Rate (%),2016 Unemployment Rate (%),2017 Unemployment Rate (%),2018 Unemployment Rate (%),2019 Unemployment Rate (%),,
1.00,113.00,"Russell County, AL",10.70,10.20,9.00,7.40,6.50,6.00,5.60,4.50,4.00,2.90,,
1.00,115.00,"St. Clair County, AL",10.00,8.70,7.00,6.20,5.70,5.20,5.20,4.10,3.50,2.70,,
1.00,117.00,"Shelby County, AL",7.00,6.20,5.20,4.70,4.50,4.20,4.30,3.30,2.80,2.20,,
1.00,119.00,"Sumter County, AL",13.10,13.00,10.70,9.20,8.40,8.00,7.70,6.80,5.80,4.50,,
1.00,121.00,"Talladega County, AL",13.20,11.50,9.60,8.70,7.70,6.60,6.60,5.20,4.20,3.40,,
1.00,123.00,"Tallapoosa County, AL",12.90,11.30,8.80,8.20,7.50,6.10,5.60,4.30,4.10,3.00,,
1.00,125.00,"Tuscaloosa County, AL",9.10,8.30,7.20,6.50,5.90,5.50,5.70,4.30,3.60,2.70,,
1.00,127.00,"Walker County, AL",12.50,11.20,9.40,8.60,7.90,7.30,7.50,5.20,4.20,3.30,,
1.00,129.00,"Washington County, AL",13.90,14.40,12.20,11.00,9.50,9.00,8.60,7.00,5.80,4.60,,
1.00,131.00,"Wilcox County, AL",25.80,22.90,20.40,19.50,16.80,14.70,14.50,11.80,9.50,7.10,,
1.00,133.00,"Winston County, AL",15.70,13.40,10.20,9.50,8.60,7.60,7.10,5.20,4.20,3.30,,
2.00,13.00,"Aleutians East Borough, AK",5.80,6.30,6.90,6.10,4.40,3.10,2.50,2.40,2.80,2.80,,
2.00,16.00,"Aleutians West Census Area, AK",5.20,6.00,7.00,6.90,4.70,3.70,3.20,3.40,3.20,3.60,,
2.00,20.00,"Anchorage Borough/municipality, AK",6.80,6.10,5.40,5.20,5.10,4.90,5.30,5.40,5.00,5.10,,
2.00,50.00,"Bethel Census Area, AK",15.10,15.30,15.60,16.20,15.80,13.90,13.70,12.70,11.70,12.90,,
2.00,60.00,"Bristol Bay Borough, AK",10.10,9.10,10.00,9.00,7.90,8.90,6.80,5.90,5.60,6.10,,
2.00,68.00,"Denali Borough, AK",12.30,14.00,13.90,12.60,10.20,8.40,8.70,8.40,7.20,8.50,,
2.00,70.00,"Dillingham Census Area, AK",10.50,10.80,10.00,10.20,9.90,9.30,9.30,8.40,7.40,8.10,,
2.00,90.00,"Fairbanks North Star Borough, AK",6.90,6.60,6.20,5.90,5.70,5.30,5.60,5.70,5.20,5.40,,
2.00,100.00,"Haines Borough, AK",11.00,10.20,10.10,10.10,10.60,9.50,9.80,8.30,8.80,8.90,,
2.00,105.00,"Hoonah-Angoon Census Area, AK",14.50,15.40,14.60,14.70,14.90,14.70,11.30,11.50,11.50,11.40,,
2.00,110.00,"Juneau Borough/city, AK",6.10,5.70,5.20,5.10,5.00,4.60,4.30,4.30,4.00,4.40,,
2.00,122.00,"Kenai Peninsula Borough, AK",10.30,9.70,8.80,8.10,7.70,7.60,8.20,7.70,6.90,6.80,,
2.00,130.00,"Ketchikan Gateway Borough, AK",9.10,8.80,8.30,7.90,7.70,6.70,6.20,5.70,5.50,6.20,,
2.00,150.00,"Kodiak Island Borough, AK",7.60,7.60,6.80,6.20,5.60,4.70,4.90,4.70,5.40,5.60,,
2.00,158.00,"Kusilvak Census Area, AK",21.00,21.50,22.40,23.70,23.50,22.50,20.80,18.50,18.20,19.30,,
2.00,164.00,"Lake and Peninsula Borough, AK",14.90,15.40,15.40,15.60,16.10,12.10,11.90,11.00,10.20,9.90,,
2.00,170.00,"Matanuska-Susitna Borough, AK",9.80,9.40,8.80,8.40,7.90,7.40,7.90,7.70,6.80,6.90,,
2.00,180.00,"Nome Census Area, AK",13.00,12.60,11.80,12.40,12.10,11.50,12.20,11.30,10.40,10.90,,
2.00,185.00,"North Slope Borough, AK",8.30,7.80,7.90,7.40,5.90,5.50,6.50,6.90,6.30,6.40,,
2.00,188.00,"Northwest Arctic Borough, AK",13.90,15.80,15.90,16.50,16.80,15.50,15.40,15.20,12.60,14.00,,
2.00,220.00,"Sitka Borough/city, AK",6.50,6.20,5.70,5.50,5.00,4.40,4.40,4.20,3.80,4.20,,
2.00,230.00,"Skagway Municipality, AK",15.00,16.50,14.20,12.40,11.70,11.10,10.70,9.70,8.70,9.20,,
2.00,240.00,"Southeast Fairbanks Census Area, AK",12.30,12.70,13.00,13.20,13.00,10.30,10.30,9.60,8.80,9.00,,
2.00,261.00,"Valdez-Cordova Census Area, AK",9.70,10.10,9.80,10.00,9.50,8.40,8.20,7.20,6.70,7.50,,
2.00,282.00,"Yakutat Borough/city, AK",11.10,11.00,9.80,9.50,9.90,8.50,8.20,8.60,7.30,7.70,,
2.00,290.00,"Yukon-Koyukuk Census Area, AK",17.80,18.80,17.60,18.40,18.70,17.80,17.20,16.60,13.60,14.00,,
4.00,1.00,"Apache County, AZ",16.30,18.30,19.00,18.50,15.70,13.30,11.60,10.40,9.90,9.90,,
4.00,3.00,"Cochise County, AZ",9.30,9.50,9.00,9.30,8.40,7.30,6.30,5.60,5.60,5.70,,
4.00,5.00,"Coconino County, AZ",9.80,9.50,8.60,8.20,7.10,6.50,6.10,5.60,5.50,5.50,,
4.00,7.00,"Gila County, AZ",12.40,11.50,10.20,9.70,8.30,7.90,7.30,6.10,5.80,5.50,,
4.00,9.00,"Graham County, AZ",12.80,9.90,8.50,7.80,7.40,7.40,6.80,5.50,5.10,4.80,,
4.00,11.00,"Greenlee County, AZ",16.30,11.00,8.20,5.90,6.50,7.90,7.70,5.10,4.10,3.90,,
4.00,12.00,"La Paz County, AZ",10.20,9.80,8.60,8.20,7.60,7.50,6.10,5.50,6.20,5.80,,
4.00,13.00,"Maricopa County, AZ",9.50,8.50,7.30,6.60,5.80,5.10,4.70,4.20,4.10,4.00,,
4.00,15.00,"Mohave County, AZ",12.90,12.20,11.00,10.40,8.70,8.00,6.70,6.00,5.70,5.70,,
4.00,17.00,"Navajo County, AZ",14.60,14.70,14.10,13.60,11.10,9.70,8.40,7.70,7.70,7.30,,
4.00,19.00,"Pima County, AZ",9.30,8.40,7.40,6.80,6.00,5.50,5.00,4.60,4.40,4.40,,
4.00,21.00,"Pinal County, AZ",10.60,9.70,8.50,8.10,7.00,6.30,5.60,5.10,5.00,4.90,,
4.00,23.00,"Santa Cruz County, AZ",15.20,15.40,15.50,15.50,13.00,11.50,10.20,9.60,9.20,8.50,,
4.00,25.00,"Yavapai County, AZ",10.60,9.80,8.60,7.80,6.40,5.60,5.00,4.60,4.40,4.40,,
4.00,27.00,"Yuma County, AZ",25.00,24.10,23.90,25.60,22.90,21.80,19.10,17.20,17.00,16.40,,
5.00,1.00,"Arkansas County, AR",17.90,11.60,8.40,7.10,5.20,4.10,3.40,3.30,3.30,3.00,,
5.00,3.00,"Ashley County, AR",9.60,10.50,11.50,10.40,8.90,7.50,6.10,5.60,5.30,5.40,,
5.00,5.00,"Baxter County, AR",9.10,8.90,8.10,7.80,6.50,5.40,4.30,4.30,4.10,4.00,,
5.00,7.00,"Benton County, AR",6.40,6.20,5.80,5.50,4.50,3.70,2.90,3.00,2.90,2.60,,
5.00,9.00,"Boone County, AR",7.50,7.60,7.30,6.80,5.80,4.80,3.70,3.50,3.50,3.20,,
5.00,11.00,"Bradley County, AR",10.10,11.50,10.40,9.30,7.80,5.70,5.00,4.60,4.30,4.10,,
5.00,13.00,"Calhoun County, AR",8.40,9.10,8.60,7.90,6.40,5.30,4.60,3.90,3.80,4.40,,
5.00,15.00,"Carroll County, AR",7.10,6.90,6.10,5.80,5.10,4.50,3.60,3.40,3.20,3.10,,
5.00,17.00,"Chicot County, AR",11.90,12.60,10.90,11.30,10.20,9.00,6.60,6.60,6.70,6.90,,
5.00,19.00,"Clark County, AR",8.10,9.80,9.50,8.60,6.70,5.40,4.30,3.90,3.70,3.80,,
5.00,21.00,"Clay County, AR",10.60,11.60,10.60,9.50,7.70,6.50,5.70,4.60,4.30,4.90,,
5.00,23.00,"Cleburne County, AR",8.30,8.80,8.20,8.30,8.10,6.80,5.90,5.00,4.50,4.50,,
5.00,25.00,"Cleveland County, AR",8.10,8.20,7.10,7.40,6.70,5.50,4.50,4.40,3.80,3.90,,
5.00,27.00,"Columbia County, AR",9.60,9.60,8.70,8.60,7.00,6.40,5.70,5.10,4.70,4.50,,
5.00,29.00,"Conway County, AR",9.30,9.40,8.80,9.00,7.00,6.00,5.70,4.80,4.30,4.30,,
5.00,31.00,"Craighead County, AR",7.10,7.00,6.60,6.40,5.30,4.40,3.30,3.00,3.00,2.80,,
5.00,33.00,"Crawford County, AR",7.90,8.40,7.70,7.50,5.90,5.10,3.90,3.60,3.50,3.30,,
5.00,35.00,"Crittenden County, AR",10.10,10.40,9.20,8.20,7.20,6.10,4.50,4.40,4.30,4.20,,
5.00,37.00,"Cross County, AR",8.00,8.00,7.60,7.40,6.20,5.30,4.40,4.00,4.10,4.20,,
5.00,39.00,"Dallas County, AR",11.50,11.50,10.70,10.20,8.80,6.90,4.90,4.40,4.20,4.70,,
5.00,41.00,"Desha County, AR",10.70,10.60,9.50,9.40,7.90,7.20,5.50,4.80,4.50,4.50,,
5.00,43.00,"Drew County, AR",10.40,10.90,10.10,9.40,8.10,6.70,5.70,5.10,4.80,5.20,,
5.00,45.00,"Faulkner County, AR",6.90,6.80,6.30,6.30,5.40,4.60,3.80,3.40,3.20,3.00,,
5.00,47.00,"Franklin County, AR",7.40,7.30,6.80,6.70,5.50,4.90,4.10,3.50,3.50,3.40,,
5.00,49.00,"Fulton County, AR",7.50,7.40,6.90,6.70,5.70,5.10,4.30,4.30,4.00,4.00,,
5.00,51.00,"Garland County, AR",8.10,8.30,7.60,7.40,6.20,5.40,4.30,4.10,4.00,3.70,,
5.00,53.00,"Grant County, AR",6.80,7.00,6.50,6.40,5.30,4.50,3.60,3.30,3.10,3.20,,
5.00,55.00,"Greene County, AR",9.40,9.30,8.30,7.70,6.20,5.10,4.30,3.70,3.40,3.50,,
5.00,57.00,"Hempstead County, AR",8.90,8.40,7.00,7.10,5.80,4.80,3.80,3.50,3.50,3.80,,
5.00,59.00,"Hot Spring County, AR",8.30,7.90,6.90,7.10,5.60,5.00,3.90,3.70,3.70,3.60,,
5.00,61.00,"Howard County, AR",7.40,7.10,6.40,6.20,5.70,4.20,3.30,3.10,3.40,3.30,,
5.00,63.00,"Independence County, AR",8.50,8.90,8.80,8.80,7.60,6.40,5.00,4.30,4.00,4.00,,
5.00,65.00,"Izard County, AR",9.70,9.50,8.40,8.40,7.40,6.50,5.60,5.60,5.40,5.50,,
5.00,67.00,"Jackson County, AR",11.40,11.10,10.40,10.60,9.00,7.40,6.20,5.90,6.00,6.50,,
5.00,69.00,"Jefferson County, AR",10.10,10.70,9.60,10.10,8.60,7.00,5.60,5.20,5.20,5.50,,
5.00,71.00,"Johnson County, AR",7.90,7.50,7.10,7.40,6.40,5.70,4.80,4.30,4.50,4.60,,
5.00,73.00,"Lafayette County, AR",9.40,9.10,9.00,9.30,7.50,7.40,5.80,5.10,5.10,4.70,,
5.00,75.00,"Lawrence County, AR",9.20,9.40,8.70,8.60,7.10,5.90,4.30,3.80,3.90,4.20,,
5.00,77.00,"Lee County, AR",8.20,9.10,9.10,9.10,7.40,6.60,4.70,4.90,4.80,4.50,,
5.00,79.00,"Lincoln County, AR",9.10,8.90,8.40,8.10,6.90,6.10,4.80,4.20,4.20,4.40,,
5.00,81.00,"Little River County, AR",7.50,7.50,7.00,7.40,6.40,5.40,4.70,4.90,5.20,4.30,,
5.00,83.00,"Logan County, AR",8.20,8.40,7.70,7.60,5.80,5.70,4.60,3.90,4.00,4.30,,
5.00,85.00,"Lonoke County, AR",6.50,6.60,6.10,5.90,5.00,4.10,3.30,3.30,3.20,3.20,,
5.00,87.00,"Madison County, AR",6.80,6.40,5.60,5.70,4.70,3.80,3.20,2.90,2.90,2.50,,
5.00,89.00,"Marion County, AR",9.80,9.00,7.90,7.50,6.10,5.10,4.00,4.00,4.10,4.00,,
5.00,91.00,"Miller County, AR",5.60,6.10,5.70,6.30,5.70,4.90,4.20,4.40,4.80,4.10,,
5.00,93.00,"Mississippi County, AR",11.90,11.50,10.50,11.10,9.00,8.90,6.80,6.00,5.60,5.10,,
5.00,95.00,"Monroe County, AR",8.90,9.10,8.60,8.50,6.60,6.00,4.80,4.30,4.20,4.30,,
5.00,97.00,"Montgomery County, AR",8.40,8.80,8.10,8.20,7.70,6.60,5.10,4.80,4.70,4.60,,
5.00,99.00,"Nevada County, AR",9.60,9.00,7.40,7.50,5.90,4.90,3.70,3.60,3.40,4.00,,
5.00,101.00,"Newton County, AR",6.70,7.10,7.10,6.80,5.70,4.80,3.90,3.70,3.30,3.50,,
5.00,103.00,"Ouachita County, AR",9.10,10.00,10.00,9.40,7.70,6.20,5.00,4.60,4.60,5.20,,
5.00,105.00,"Perry County, AR",8.60,8.90,8.70,9.10,7.50,6.00,4.80,4.20,4.10,4.10,,
5.00,107.00,"Phillips County, AR",10.20,11.60,11.10,11.10,9.40,7.50,5.90,5.80,6.00,6.00,,
5.00,109.00,"Pike County, AR",8.70,9.40,8.60,8.50,7.10,5.80,4.30,4.00,4.00,3.90,,
5.00,111.00,"Poinsett County, AR",9.00,9.10,8.30,8.20,6.80,5.50,4.30,4.20,3.80,3.40,,
5.00,113.00,"Polk County, AR",7.20,7.60,7.10,7.00,6.10,5.70,4.90,4.50,4.10,4.20,,
5.00,115.00,"Pope County, AR",7.50,7.40,7.00,7.10,6.10,5.20,4.60,4.50,4.40,4.30,,
5.00,117.00,"Prairie County, AR",8.90,8.30,7.30,6.90,5.60,4.60,3.80,4.10,3.80,4.40,,
5.00,119.00,"Pulaski County, AR",7.00,7.10,6.60,6.40,5.40,4.50,3.60,3.40,3.40,3.40,,
5.00,121.00,"Randolph County, AR",9.90,10.80,10.40,9.30,7.70,7.00,4.60,4.20,4.00,3.90,,
5.00,123.00,"St. Francis County, AR",10.30,10.60,10.40,10.20,8.50,7.10,5.20,5.10,5.10,5.20,,
5.00,125.00,"Saline County, AR",6.40,6.30,5.90,5.60,4.70,4.00,3.10,3.00,3.00,2.80,,
5.00,127.00,"Scott County, AR",6.80,6.70,6.40,6.10,4.90,4.70,3.70,3.50,3.60,3.40,,
5.00,129.00,"Searcy County, AR",8.90,8.70,7.90,7.80,6.20,5.60,4.60,4.70,4.30,4.60,,
5.00,131.00,"Sebastian County, AR",7.70,8.30,7.50,7.30,5.50,4.70,3.70,3.60,3.50,3.30,,
5.00,133.00,"Sevier County, AR",6.70,8.70,8.30,8.10,6.80,6.00,4.90,4.60,4.60,4.80,,
5.00,135.00,"Sharp County, AR",9.50,10.30,9.80,9.50,8.30,6.80,5.50,5.10,4.70,5.00,,
5.00,137.00,"Stone County, AR",7.30,8.50,7.90,8.20,7.50,6.20,5.10,4.80,4.50,4.70,,
5.00,139.00,"Union County, AR",11.00,10.10,8.90,8.40,7.20,6.00,5.50,5.30,5.50,5.20,,
5.00,141.00,"Van Buren County, AR",10.80,10.60,9.80,9.50,7.90,6.60,6.90,5.50,5.20,5.00,,
5.00,143.00,"Washington County, AR",6.30,6.00,5.40,5.20,4.30,3.50,2.80,2.60,2.60,2.40,,
5.00,145.00,"White County, AR",7.90,8.30,7.50,7.60,6.90,6.10,5.20,4.60,4.30,4.50,,
5.00,147.00,"Woodruff County, AR",10.00,10.50,9.80,9.30,7.40,6.30,5.50,4.90,4.70,5.30,,
5.00,149.00,"Yell County, AR",7.80,7.10,6.40,6.40,5.50,5.00,4.50,4.10,4.10,4.00,,
6.00,1.00,"Alameda County, CA",11.20,10.30,8.80,7.30,5.90,4.80,4.30,3.70,3.10,2.90,,
6.00,3.00,"Alpine County, CA",13.10,12.90,11.20,9.80,8.30,7.50,6.50,6.20,4.60,5.10,,
6.00,5.00,"Amador County, CA",14.40,13.80,12.50,10.40,8.40,6.60,6.00,5.00,4.10,3.80,,
6.00,7.00,"Butte County, CA",14.20,13.90,12.30,10.40,8.70,7.20,6.60,5.80,5.10,5.10,,
6.00,9.00,"Calaveras County, CA",14.80,14.30,12.60,10.10,8.10,6.40,5.70,4.80,4.10,3.80,,
6.00,11.00,"Colusa County, CA",21.30,21.60,21.00,19.10,17.60,15.50,15.60,14.30,13.30,12.80,,
6.00,13.00,"Contra Costa County, CA",11.20,10.50,9.10,7.60,6.20,5.10,4.50,3.90,3.20,3.10,,
6.00,15.00,"Del Norte County, CA",13.50,13.50,13.70,12.00,10.20,8.60,7.50,6.50,5.80,5.70,,
6.00,17.00,"El Dorado County, CA",12.50,11.90,10.40,8.60,7.10,5.70,5.20,4.40,3.70,3.50,,
6.00,19.00,"Fresno County, CA",17.10,16.80,15.40,13.40,11.70,10.30,9.50,8.60,7.60,7.20,,
6.00,21.00,"Glenn County, CA",15.80,15.80,14.40,12.20,10.80,8.80,8.40,7.50,6.60,6.10,,
6.00,23.00,"Humboldt County, CA",10.80,10.70,9.70,8.20,6.70,5.60,4.90,4.20,3.60,3.60,,
6.00,25.00,"Imperial County, CA",29.40,29.30,27.70,25.30,24.30,24.60,24.20,19.70,18.80,18.30,,
6.00,27.00,"Inyo County, CA",10.00,9.90,9.20,7.90,6.90,5.80,5.30,4.40,3.90,3.50,,
6.00,29.00,"Kern County, CA",16.00,15.10,13.40,11.90,10.50,10.30,10.40,9.30,8.10,7.70,,
6.00,31.00,"Kings County, CA",16.50,16.20,15.10,13.60,12.10,10.60,10.00,9.00,7.90,7.90,,
6.00,33.00,"Lake County, CA",15.50,14.80,13.00,11.00,9.00,7.60,6.70,5.80,5.30,5.00,,
6.00,35.00,"Lassen County, CA",14.40,13.80,12.70,10.70,9.20,7.30,7.00,5.60,4.80,4.60,,
6.00,37.00,"Los Angeles County, CA",12.60,12.20,11.00,9.80,8.20,6.70,5.30,4.80,4.70,4.60,,
6.00,39.00,"Madera County, CA",17.00,16.40,14.70,12.70,11.30,10.60,9.30,8.20,7.10,6.90,,
6.00,41.00,"Marin County, CA",8.10,7.40,6.40,5.20,4.30,3.60,3.30,2.90,2.40,2.30,,
6.00,43.00,"Mariposa County, CA",13.30,13.40,12.40,10.60,8.90,7.20,6.90,5.90,5.40,4.60,,
6.00,45.00,"Mendocino County, CA",11.90,11.60,10.20,8.50,7.10,5.90,5.30,4.60,4.00,4.00,,
6.00,47.00,"Merced County, CA",18.40,17.90,16.60,14.70,13.00,11.40,10.60,9.40,8.50,8.10,,
6.00,49.00,"Modoc County, CA",15.50,16.20,14.60,12.40,10.40,8.60,7.80,8.20,7.60,7.10,,
6.00,51.00,"Mono County, CA",10.40,10.20,10.50,8.60,7.10,6.20,5.40,4.50,4.10,3.70,,
6.00,53.00,"Monterey County, CA",13.00,12.90,11.80,10.40,9.20,8.20,7.70,7.20,6.40,6.20,,
6.00,55.00,"Napa County, CA",10.60,10.00,8.60,7.00,5.70,4.60,4.30,3.70,3.00,2.80,,
6.00,57.00,"Nevada County, CA",12.00,11.30,9.90,8.20,6.60,5.50,4.80,4.10,3.50,3.30,,
6.00,59.00,"Orange County, CA",10.00,9.30,8.00,6.70,5.60,4.50,4.10,3.50,3.00,2.80,,
6.00,61.00,"Placer County, CA",11.90,11.00,9.50,7.80,6.30,5.10,4.50,3.90,3.20,3.10,,
6.00,63.00,"Plumas County, CA",18.70,17.90,16.40,14.00,11.70,10.30,9.80,8.90,7.60,7.70,,
6.00,65.00,"Riverside County, CA",14.20,13.40,11.80,10.00,8.30,6.70,6.10,5.30,4.50,4.20,,
6.00,67.00,"Sacramento County, CA",12.90,12.30,10.70,9.00,7.40,6.00,5.40,4.70,3.90,3.70,,
6.00,69.00,"San Benito County, CA",15.50,14.80,13.30,11.20,9.40,7.60,6.70,5.80,5.10,5.00,,
6.00,71.00,"San Bernardino County, CA",13.90,13.10,11.60,9.90,8.10,6.50,5.80,5.00,4.10,3.80,,
6.00,73.00,"San Diego County, CA",11.00,10.50,9.30,7.90,6.50,5.20,4.70,4.00,3.40,3.20,,
6.00,75.00,"San Francisco County/city, CA",9.10,8.20,6.90,5.50,4.40,3.70,3.30,2.90,2.40,2.20,,
6.00,77.00,"San Joaquin County, CA",16.90,16.50,14.60,12.50,10.70,8.90,8.20,7.00,6.10,5.90,,
6.00,79.00,"San Luis Obispo County, CA",10.20,9.70,8.40,6.90,5.60,4.80,4.30,3.60,3.00,2.90,,
6.00,81.00,"San Mateo County, CA",8.60,7.70,6.50,5.30,4.30,3.40,3.10,2.70,2.30,2.00,,
6.00,83.00,"Santa Barbara County, CA",9.90,9.50,8.50,7.30,6.20,5.30,5.10,4.60,4.00,3.70,,
6.00,85.00,"Santa Clara County, CA",10.70,9.50,8.00,6.60,5.20,4.20,3.80,3.20,2.70,2.50,,
6.00,87.00,"Santa Cruz County, CA",13.60,13.30,12.00,10.40,8.90,7.50,7.00,5.70,5.00,4.70,,
6.00,89.00,"Shasta County, CA",17.20,16.20,14.40,12.00,9.70,7.80,7.00,5.80,5.00,4.70,,
