,State,FIPS,Total Food Costs,Year,bin
52,Georgia,00013,20278680.15,2017,10000001-50000000
53,Georgia,00013,16985114.97,2018,10000001-50000000
54,Georgia,00013,23087795.42,2019,10000001-50000000
55,Hawaii,00015,1295681.17,2015,900001-1300000
56,Hawaii,00015,1715844.6,2016,1600001-2000000
57,Hawaii,00015,1852909.87,2017,1600001-2000000
58,Hawaii,00015,1314080.97,2018,1300001-1600000
59,Hawaii,00015,1290855.27,2019,900001-1300000
60,Idaho,00016,1971068.51,2015,1600001-2000000
61,Idaho,00016,3318390.08,2016,2000001-5000000
62,Idaho,00016,2609752.2,2017,2000001-5000000
63,Idaho,00016,2630135.95,2018,2000001-5000000
64,Idaho,00016,2110633.47,2019,2000001-5000000
65,Illinois,00017,21346152.85,2015,10000001-50000000
66,Illinois,00017,24746208.11,2016,10000001-50000000
67,Illinois,00017,23276321.15,2017,10000001-50000000
68,Illinois,00017,23883137.52,2018,10000001-50000000
69,Illinois,00017,23250887.57,2019,10000001-50000000
70,Indiana,00018,11150459.49,2015,10000001-50000000
71,Indiana,00018,12285710.88,2016,10000001-50000000
72,Indiana,00018,12676957.88,2017,10000001-50000000
73,Indiana,00018,11294905.12,2018,10000001-50000000
74,Indiana,00018,12546806.28,2019,10000001-50000000
75,Iowa,00019,2769927.15,2015,2000001-5000000
76,Iowa,00019,4967950.82,2016,2000001-5000000
77,Iowa,00019,4697303.01,2017,2000001-5000000
78,Iowa,00019,4459057.57,2018,2000001-5000000
79,Iowa,00019,5821916.18,2019,5000001-10000000
80,Kansas,00020,3325446.44,2015,2000001-5000000
81,Kansas,00020,4582902.83,2016,2000001-5000000
82,Kansas,00020,4319914.96,2017,2000001-5000000
83,Kansas,00020,4047964.1,2018,2000001-5000000
84,Kansas,00020,4917898.31,2019,2000001-5000000
85,Kentucky,00021,6049045.63,2015,5000001-10000000
86,Kentucky,00021,8811129.46,2016,5000001-10000000
87,Kentucky,00021,8094131.87,2017,5000001-10000000
88,Kentucky,00021,8039957.92,2018,5000001-10000000
89,Kentucky,00021,10595563.92,2019,10000001-50000000
90,Louisiana,00022,6042255.41,2015,5000001-10000000
91,Louisiana,00022,9964123.73,2016,5000001-10000000
92,Louisiana,00022,10514008.39,2017,10000001-50000000
93,Louisiana,00022,10469597.57,2018,10000001-50000000
94,Louisiana,00022,12731320.88,2019,10000001-50000000
95,Maine,00023,1563440.98,2015,1300001-1600000
96,Maine,00023,2876184.17,2016,2000001-5000000
97,Maine,00023,2799775.91,2017,2000001-5000000
98,Maine,00023,2302991.48,2018,2000001-5000000
99,Maine,00023,2586983.52,2019,2000001-5000000
100,Maryland,00024,4877248.93,2015,2000001-5000000
101,Maryland,00024,8390714.28,2016,5000001-10000000
102,Maryland,00024,5093898.26,2017,5000001-10000000
103,Maryland,00024,6770898.92,2018,5000001-10000000
104,Maryland,00024,5309090.14,2019,5000001-10000000
105,Massachusetts,00025,8593364.48,2015,5000001-10000000
106,Massachusetts,00025,9774993.47,2016,5000001-10000000
107,Massachusetts,00025,8620025.84,2017,5000001-10000000
108,Massachusetts,00025,9073341.64,2018,5000001-10000000
109,Massachusetts,00025,7880538.44,2019,5000001-10000000
110,Michigan,00026,15144426.85,2015,10000001-50000000
111,Michigan,00026,20055417.47,2016,10000001-50000000
112,Michigan,00026,17629003.37,2017,10000001-50000000
113,Michigan,00026,17222821.39,2018,10000001-50000000
114,Michigan,00026,20423804.07,2019,10000001-50000000
115,Minnesota,00027,5431794.89,2015,5000001-10000000
116,Minnesota,00027,7365939.08,2016,5000001-10000000
117,Minnesota,00027,7604746.06,2017,5000001-10000000
118,Minnesota,00027,6455478.27,2018,5000001-10000000
119,Minnesota,00027,6631340.81,2019,5000001-10000000
120,Mississippi,00028,6114721.93,2015,5000001-10000000
121,Mississippi,00028,6629467.78,2016,5000001-10000000
122,Mississippi,00028,6521293.35,2017,5000001-10000000
123,Mississippi,00028,6337738.68,2018,5000001-10000000
124,Mississippi,00028,6365652.96,2019,5000001-10000000
125,Missouri,00029,8502694.27,2015,5000001-10000000
126,Missouri,00029,11547393.53,2016,10000001-50000000
127,Missouri,00029,10791532.44,2017,10000001-50000000
128,Missouri,00029,10287341.54,2018,10000001-50000000
129,Missouri,00029,11301460.79,2019,10000001-50000000
130,Montana,00030,1159217.59,2015,900001-1300000
131,Montana,00030,1851394.64,2016,1600001-2000000
132,Montana,00030,1425112.81,2017,1300001-1600000
133,Montana,00030,1525495.45,2018,1300001-1600000
134,Montana,00030,1169028.82,2019,900001-1300000
135,Nebraska,00031,1851752.53,2015,1600001-2000000
136,Nebraska,00031,2549645.33,2016,2000001-5000000
137,Nebraska,00031,2487684.38,2017,2000001-5000000
138,Nebraska,00031,2246716.16,2018,2000001-5000000
139,Nebraska,00031,2646927.77,2019,2000001-5000000
140,Nevada,00032,4447898.16,2015,2000001-5000000
141,Nevada,00032,5613848.15,2016,5000001-10000000
142,Nevada,00032,5464655.0,2017,5000001-10000000
143,Nevada,00032,5770930.81,2018,5000001-10000000
144,Nevada,00032,6487789.24,2019,5000001-10000000
145,New Hampshire,00033,1464512.0,2015,1300001-1600000
146,New Hampshire,00033,1506517.24,2016,1300001-1600000
147,New Hampshire,00033,1716674.39,2017,1600001-2000000
148,New Hampshire,00033,1530207.89,2018,1300001-1600000
149,New Hampshire,00033,1394459.52,2019,1300001-1600000
150,New Jersey,00034,11866008.37,2015,10000001-50000000
151,New Jersey,00034,14994892.76,2016,10000001-50000000
152,New Jersey,00034,15347415.58,2017,10000001-50000000
153,New Jersey,00034,15104223.31,2018,10000001-50000000
154,New Jersey,00034,17075882.17,2019,10000001-50000000
155,New Mexico,00035,3505755.24,2015,2000001-5000000
156,New Mexico,00035,5054737.65,2016,5000001-10000000
157,New Mexico,00035,5080985.9,2017,5000001-10000000
158,New Mexico,00035,4731051.5,2018,2000001-5000000
159,New Mexico,00035,4838559.76,2019,2000001-5000000
160,New York,00036,29789523.99,2015,10000001-50000000
161,New York,00036,33809223.5,2016,10000001-50000000
162,New York,00036,35810683.31,2017,10000001-50000000
163,New York,00036,33888141.97,2018,10000001-50000000
164,New York,00036,37349051.27,2019,10000001-50000000
165,North Carolina,00037,13614798.25,2015,10000001-50000000
166,North Carolina,00037,18832211.32,2016,10000001-50000000
167,North Carolina,00037,16709670.28,2017,10000001-50000000
168,North Carolina,00037,17473968.01,2018,10000001-50000000
169,North Carolina,00037,23664529.07,2019,10000001-50000000
170,North Dakota,00038,765189.87,2015,500001-900000
171,North Dakota,00038,903279.19,2016,900001-1300000
172,North Dakota,00038,1156710.95,2017,900001-1300000
173,North Dakota,00038,1029020.82,2018,900001-1300000
174,North Dakota,00038,1124642.93,2019,900001-1300000
175,Ohio,00039,16962745.23,2015,10000001-50000000
176,Ohio,00039,22058090.22,2016,10000001-50000000
177,Ohio,00039,19924734.62,2017,10000001-50000000
178,Ohio,00039,19518954.73,2018,10000001-50000000
179,Ohio,00039,25640298.57,2019,10000001-50000000
180,Oklahoma,00040,5201249.64,2015,5000001-10000000
181,Oklahoma,00040,6643877.58,2016,5000001-10000000
182,Oklahoma,00040,7335986.58,2017,5000001-10000000
183,Oklahoma,00040,6601220.24,2018,5000001-10000000
184,Oklahoma,00040,8764162.49,2019,5000001-10000000
185,Oregon,00041,5935373.61,2015,5000001-10000000
186,Oregon,00041,7115062.97,2016,5000001-10000000
187,Oregon,00041,8123723.32,2017,5000001-10000000
188,Oregon,00041,7454671.06,2018,5000001-10000000
189,Oregon,00041,8657438.38,2019,5000001-10000000
190,Pennsylvania,00042,20067137.84,2015,10000001-50000000
191,Pennsylvania,00042,22112016.41,2016,10000001-50000000
192,Pennsylvania,00042,26494375.41,2017,10000001-50000000
193,Pennsylvania,00042,20371610.53,2018,10000001-50000000
194,Pennsylvania,00042,24423979.3,2019,10000001-50000000
195,Rhode Island,00044,1176280.97,2015,900001-1300000
196,Rhode Island,00044,1859297.28,2016,1600001-2000000
197,Rhode Island,00044,1411351.66,2017,1300001-1600000
198,Rhode Island,00044,1600473.3,2018,1600001-2000000
199,Rhode Island,00044,1621439.54,2019,1600001-2000000
200,South Carolina,00045,6355690.54,2015,5000001-10000000
201,South Carolina,00045,9547344.07,2016,5000001-10000000
202,South Carolina,00045,10280758.58,2017,10000001-50000000
203,South Carolina,00045,8632060.56,2018,5000001-10000000
204,South Carolina,00045,9005694.32,2019,5000001-10000000
205,South Dakota,00046,703955.01,2015,500001-900000
206,South Dakota,00046,817145.08,2016,500001-900000
207,South Dakota,00046,906209.14,2017,900001-1300000
208,South Dakota,00046,987507.77,2018,900001-1300000
209,South Dakota,00046,1135973.6,2019,900001-1300000
210,Tennessee,00047,8977217.96,2015,5000001-10000000
211,Tennessee,00047,12467248.08,2016,10000001-50000000
212,Tennessee,00047,13474668.45,2017,10000001-50000000
213,Tennessee,00047,10514993.89,2018,10000001-50000000
214,Tennessee,00047,13420432.9,2019,10000001-50000000
215,Texas,00048,36494697.41,2015,10000001-50000000
216,Texas,00048,47347990.39,2016,10000001-50000000
217,Texas,00048,45071031.52,2017,10000001-50000000
218,Texas,00048,44054584.0,2018,10000001-50000000
219,Texas,00048,56925435.99,2019,>50000001
220,Utah,00049,3282446.44,2015,2000001-5000000
221,Utah,00049,3999839.72,2016,2000001-5000000
222,Utah,00049,3576895.48,2017,2000001-5000000
223,Utah,00049,3178212.38,2018,2000001-5000000
224,Utah,00049,4197854.51,2019,2000001-5000000
225,Vermont,00050,715725.17,2015,500001-900000
226,Vermont,00050,1407138.52,2016,1300001-1600000
227,Vermont,00050,1349708.72,2017,1300001-1600000
228,Vermont,00050,1112714.22,2018,900001-1300000
229,Vermont,00050,1289909.33,2019,900001-1300000
230,Virginia,00051,8390772.34,2015,5000001-10000000
231,Virginia,00051,10548675.55,2016,10000001-50000000
232,Virginia,00051,10888603.64,2017,10000001-50000000
233,Virginia,00051,10753121.25,2018,10000001-50000000
234,Virginia,00051,11059451.58,2019,10000001-50000000
235,Washington,00053,8900543.33,2015,5000001-10000000
236,Washington,00053,12639740.08,2016,10000001-50000000
237,Washington,00053,12823563.36,2017,10000001-50000000
238,Washington,00053,12111558.3,2018,10000001-50000000
239,Washington,00053,10899362.89,2019,10000001-50000000
240,West Virginia,00054,3516628.89,2015,2000001-5000000
241,West Virginia,00054,4666125.4,2016,2000001-5000000
242,West Virginia,00054,3903553.84,2017,2000001-5000000
243,West Virginia,00054,4102318.22,2018,2000001-5000000
244,West Virginia,00054,4132660.24,2019,2000001-5000000
245,Wisconsin,00055,7472345.74,2015,5000001-10000000
246,Wisconsin,00055,9264446.55,2016,5000001-10000000
247,Wisconsin,00055,8916282.51,2017,5000001-10000000
248,Wisconsin,00055,7739954.43,2018,5000001-10000000
249,Wisconsin,00055,9663191.59,2019,5000001-10000000
250,Wyoming,00056,760355.92,2015,500001-900000
251,Wyoming,00056,816517.11,2016,500001-900000
252,Wyoming,00056,862758.48,2017,500001-900000
253,Wyoming,00056,1073113.67,2018,900001-1300000
254,Wyoming,00056,1003283.93,2019,900001-1300000
255,Puerto Rico,00072,6553862.37,2015,5000001-10000000
256,Puerto Rico,00072,8877501.7,2016,5000001-10000000
257,Puerto Rico,00072,10526710.94,2017,10000001-50000000
258,Puerto Rico,00072,9410146.54,2018,5000001-10000000
259,Puerto Rico,00072,7709763.43,2019,5000001-10000000
